Δήμος,Καθαρισμένο_Όνομα,Δήμος_Κλεισθένη
Δ. ΘΕΡΜΑΙΚΟΥ,ΘΕΡΜΑΙΚΟΥ,ΘΕΡΜΑΙΚΟΥ
Δ. ΠΟΡΟΥ,ΠΟΡΟΥ,ΠΟΡΟΥ
Δ. ΓΟΡΤΥΝΙΑΣ,ΓΟΡΤΥΝΙΑΣ,ΓΟΡΤΥΝΙΑΣ
Δ. ΑΛΙΑΡΤΟΥ,ΑΛΙΑΡΤΟΥ - ΘΕΣΠΙΕΩΝ,ΑΛΙΑΡΤΟΥ - ΘΕΣΠΙΕΩΝ
Δ. ΝΕΣΤΟΡΙΟΥ,ΝΕΣΤΟΡΙΟΥ,ΝΕΣΤΟΡΙΟΥ
Δ. ΚΑΡΠΕΝΗΣΙΟΥ,ΚΑΡΠΕΝΗΣΙΟΥ,ΚΑΡΠΕΝΗΣΙΟΥ
Δ. ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ
Δ. ΑΧΑΡΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,ΑΧΑΡΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ
Δ. ΣΚΟΠΕΛΟΥ,ΣΚΟΠΕΛΟΥ,ΣΚΟΠΕΛΟΥ
Δ. ΜΥΚΗΣ,ΜΥΚΗΣ,ΜΥΚΗΣ
Δ. ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ
Δ. ΡΗΓΑ ΦΕΡΑΙΟΥ,ΡΗΓΑ ΦΕΡΑΙΟΥ,ΡΗΓΑ ΦΕΡΑΙΟΥ
Δ. ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ
Δ. ΚΙΣΣΑΜΟΥ,ΚΙΣΣΑΜΟΥ,ΚΙΣΣΑΜΟΥ
Δ. ΓΛΥΦΑΔΑΣ,ΓΛΥΦΑΔΑΣ,ΓΛΥΦΑΔΑΣ
Δ. ΠΛΑΤΑΝΙΑ,ΠΛΑΤΑΝΙΑ,ΠΛΑΤΑΝΙΑ
Δ. ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ
Δ. ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ,ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ,ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ
Δ. ΑΜΑΡΙΟΥ,ΑΜΑΡΙΟΥ,ΑΜΑΡΙΟΥ
Δ. ΓΟΡΤΥΝΑΣ,ΓΟΡΤΥΝΑΣ,ΓΟΡΤΥΝΑΣ
Δ. ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ
Δ. ΔΥΤΙΚΗΣ ΜΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΝΗΣ
Δ. ΘΑΣΟΥ,ΘΑΣΟΥ,ΘΑΣΟΥ
Δ. ΒΕΛΟΥ-ΒΟΧΑΣ,ΒΕΛΟΥ-ΒΟΧΑΣ,ΒΕΛΟΥ - ΒΟΧΑΣ
Δ. ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ
Δ. ΚΥΘΝΟΥ,ΚΥΘΝΟΥ,ΚΥΘΝΟΥ
Δ. ΝΕΜΕΑΣ,ΝΕΜΕΑΣ,ΝΕΜΕΑΣ
Δ. ΧΕΡΣΟΝΗΣΟΥ,ΧΕΡΣΟΝΗΣΟΥ,ΧΕΡΣΟΝΗΣΟΥ
Δ. ΜΑΡΑΘΩΝΟΣ,ΜΑΡΑΘΩΝΟΣ,ΜΑΡΑΘΩΝΟΣ
Δ. ΣΕΡΙΦΟΥ,ΣΕΡΙΦΟΥ,ΣΕΡΙΦΟΥ
Δ. ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ,ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ,ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ
Δ. ΚΕΑΣ,ΚΕΑΣ,ΚΕΑΣ
Δ. ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ
Δ. ΕΛΑΦΟΝΗΣΟΥ,ΕΛΑΦΟΝΗΣΟΥ,ΕΛΑΦΟΝΗΣΟΥ
Δ. ΠΑΞΩΝ,ΠΑΞΩΝ,ΠΑΞΩΝ
Δ. ΑΣΠΡΟΠΥΡΓΟΥ,ΑΣΠΡΟΠΥΡΓΟΥ,ΑΣΠΡΟΠΥΡΓΟΥ
Δ. ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ,ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ,ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ
Δ. ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ
Δ. ΗΛΙΟΥΠΟΛΕΩΣ,ΗΛΙΟΥΠΟΛΕΩΣ,ΗΛΙΟΥΠΟΛΕΩΣ
Δ. ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ
Δ. ΠΕΡΑΜΑΤΟΣ,ΠΕΡΑΜΑΤΟΣ,ΠΕΡΑΜΑΤΟΣ
Δ. ΕΛΕΥΣΙΝΑΣ,ΕΛΕΥΣΙΝΑΣ,ΕΛΕΥΣΙΝΑΣ
Δ. ΣΦΑΚΙΩΝ,ΣΦΑΚΙΩΝ,ΣΦΑΚΙΩΝ
Δ. ΑΓΙΟΝ ΟΡΟΣ,ΑΓΙΟ ΟΡΟΣ (ΑΥΤΟΝΟΜΟ),ΑΓΙΟ ΟΡΟΣ (ΑΥΤΟΝΟΜΟ)
Δ. ΧΑΪΔΑΡΙΟΥ,ΧΑΪΔΑΡΙΟΥ,ΧΑΙΔΑΡΙΟΥ
Δ. ΚΑΛΑΜΑΡΙΑΣ,ΚΑΛΑΜΑΡΙΑΣ,ΚΑΛΑΜΑΡΙΑΣ
Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ
Δ. ΩΡΩΠΟΥ,ΩΡΩΠΟΥ,ΩΡΩΠΟΥ
Δ. ΚΡΩΠΙΑΣ,ΚΡΩΠΙΑΣ,ΚΡΩΠΙΑΣ
Δ. ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ
Δ. ΠΑΙΑΝΙΑΣ,ΠΑΙΑΝΙΑΣ,ΠΑΙΑΝΙΑΣ
Δ. ΣΑΛΑΜΙΝΑΣ,ΣΑΛΑΜΙΝΑΣ,ΣΑΛΑΜΙΝΟΣ
Δ. ΣΙΦΝΟΥ,ΣΙΦΝΟΥ,ΣΙΦΝΟΥ
Δ. ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ
Δ. ΑΡΓΙΘΕΑΣ,ΑΡΓΙΘΕΑΣ,ΑΡΓΙΘΕΑΣ
Δ. ΜΗΛΟΥ,ΜΗΛΟΥ,ΜΗΛΟΥ
Δ. ΑΜΥΝΤΑΙΟΥ,ΑΜΥΝΤΑΙΟΥ,ΑΜΥΝΤΑΙΟΥ
Δ. ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΕΩΣ,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΕΩΣ,ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ
Δ. ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ
Δ. ΣΑΜΟΘΡΑΚΗΣ,ΣΑΜΟΘΡΑΚΗΣ,ΣΑΜΟΘΡΑΚΗΣ
Δ. ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ
Δ. ΖΩΓΡΑΦΟΥ,ΖΩΓΡΑΦΟΥ,ΖΩΓΡΑΦΟΥ
Δ. ΑΝΩΓΕΙΩΝ,ΑΝΩΓΕΙΩΝ,ΑΝΩΓΕΙΩΝ
Δ. ΙΗΤΩΝ,ΙΗΤΩΝ,ΙΗΤΩΝ
Δ. ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ
Δ. ΑΓΚΙΣΤΡΙΟΥ,ΑΓΚΙΣΤΡΙΟΥ,ΑΓΚΙΣΤΡΙΟΥ
Δ. ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ,ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ,ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ
Δ. ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ,ΑΡΡΙΑΝΩΝ
Δ. ΘΗΡΑΣ,ΘΗΡΑΣ,ΘΗΡΑΣ
Δ. ΠΕΝΤΕΛΗΣ,ΠΕΝΤΕΛΗΣ,ΠΕΝΤΕΛΗΣ
Δ. ΠΑΛΛΗΝΗΣ,ΠΑΛΛΗΝΗΣ,ΠΑΛΛΗΝΗΣ
Δ. ΥΔΡΑΣ,ΥΔΡΑΣ,ΥΔΡΑΣ
Δ. ΠΑΥΛΟΥ ΜΕΛΑ,ΠΑΥΛΟΥ ΜΕΛΑ,ΠΑΥΛΟΥ ΜΕΛΑ
Δ. ΑΛΟΝΝΗΣΟΥ,ΑΛΟΝΝΗΣΟΥ,ΑΛΟΝΝΗΣΟΥ
Δ. ΜΕΓΑΝΗΣΟΥ,ΜΕΓΑΝΗΣΟΥ,ΜΕΓΑΝΗΣΙΟΥ
Δ. ΑΝΑΦΗΣ,ΑΝΑΦΗΣ,ΑΝΑΦΗΣ
Δ. ΑΘΗΝΑΙΩΝ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΑΙΩΝ
Δ. ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ
Δ. ΛΕΡΟΥ,ΛΕΡΟΥ,ΛΕΡΟΥ
Δ. ΠΕΙΡΑΙΩΣ,ΠΕΙΡΑΙΩΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΕΥΟΣΜΟΥ-ΚΟΡΔΕΛΙΟΥ,ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ,ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ
Δ. ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ,ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ,ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ
Δ. ΑΜΟΡΓΟΥ,ΑΜΟΡΓΟΥ,ΑΜΟΡΓΟΥ
Δ. ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ & ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ
Δ. ΚΑΛΥΜΝΙΩΝ,ΚΑΛΥΜΝΙΩΝ,ΚΑΛΥΜΝΙΩΝ
Δ. ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ
Δ. ΚΑΙΣΑΡΙΑΝΗΣ,ΚΑΙΣΑΡΙΑΝΗΣ,ΚΑΙΣΑΡΙΑΝΗΣ
Δ. ΒΥΡΩΝΟΣ,ΒΥΡΩΝΟΣ,ΒΥΡΩΝΟΣ
Δ. ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ
Δ. ΤΗΛΟΥ,ΤΗΛΟΥ,ΤΗΛΟΥ
Δ. ΣΠΕΤΣΩΝ,ΣΠΕΤΣΩΝ,ΣΠΕΤΣΩΝ
Δ. ΦΥΛΗΣ,ΦΥΛΗΣ,ΦΥΛΗΣ
Δ. ΣΙΚΙΝΟΥ,ΣΙΚΙΝΟΥ,ΣΙΚΙΝΟΥ
Δ. ΚΟΡΥΔΑΛΛΟΥ,ΚΟΡΥΔΑΛΛΟΥ,ΚΟΡΥΔΑΛΛΟΥ
Δ. ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ
Δ. ΓΑΛΑΤΣΙΟΥ,ΓΑΛΑΤΣΙΟΥ,ΓΑΛΑΤΣΙΟΥ
Δ. ΠΕΤΡΟΥΠΟΛΕΩΣ,ΠΕΤΡΟΥΠΟΛΕΩΣ,ΠΕΤΡΟΥΠΟΛΕΩΣ
Δ. ΝΙΣΥΡΟΥ,ΝΙΣΥΡΟΥ,ΝΙΣΥΡΟΥ
Δ. ΓΑΥΔΟΥ,ΓΑΥΔΟΥ,ΓΑΥΔΟΥ
Δ. ΑΓΑΘΟΝΗΣΙΟΥ,ΑΓΑΘΟΝΗΣΙΟΥ,ΑΓΑΘΟΝΗΣΙΟΥ
Δ. ΚΙΜΩΛΟΥ,ΚΙΜΩΛΟΥ,ΚΙΜΩΛΟΥ
Δ. ΟΙΝΟΥΣΣΩΝ,ΟΙΝΟΥΣΣΩΝ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ
Δ. ΨΑΡΩΝ,ΨΑΡΩΝ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΦΟΛΕΓΑΝΔΡΟΥ,ΦΟΛΕΓΑΝΔΡΟΥ,ΦΟΛΕΓΑΝΔΡΟΥ
Δ. ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ
Δ. ΒΟΛΟΥ,ΒΟΛΟΥ,ΒΟΛΟΥ
Δ. ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ
Δ. ΙΛΙΟΥ,ΙΛΙΟΥ,ΙΛΙΟΥ
Δ. ΚΗΦΙΣΙΑΣ,ΚΗΦΙΣΙΑΣ,ΚΗΦΙΣΙΑΣ
Δ. ΜΕΓΙΣΤΗΣ,ΜΕΓΙΣΤΗΣ,ΜΕΓΙΣΤΗΣ
Δ. ΜΕΤΕΩΡΩΝ,ΜΕΤΕΩΡΩΝ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ
Δ. ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ
Δ. ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΔΙΟΥ - ΟΛΥΜΠΟΥ
Δ. ΑΝΤΙΠΑΡΟΥ,ΑΝΤΙΠΑΡΟΥ,ΑΝΤΙΠΑΡΟΥ
Δ. ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ,ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ
Δ. ΝΟΤΙΑΣ ΚΕΡΚΥΡΑΣ,ΝΟΤΙΑΣ ΚΕΡΚΥΡΑΣ,ΝΟΤΙΑΣ ΚΕΡΚΥΡΑΣ
Δ. ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ,ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ,ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ
Δ. ΠΑΤΜΟΥ,ΠΑΤΜΟΥ,ΠΑΤΜΟΥ
Δ. ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ & ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ,ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ & ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΜΥΤΙΛΗΝΗΣ,ΜΥΤΙΛΗΝΗΣ,ΜΥΤΙΛΗΝΗΣ
Δ. ΑΡΓΟΣΤΟΛΙΟΥ,ΑΡΓΟΣΤΟΛΙΟΥ,ΑΡΓΟΣΤΟΛΙΟΥ
Δ. ΣΑΜΗΣ,ΣΑΜΗΣ,ΣΑΜΗΣ
Δ. ΣΕΡΒΙΩΝ,ΣΕΡΒΙΩΝ,ΣΕΡΒΙΩΝ
Δ. ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ,ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ,ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ
Δ. ΛΗΞΟΥΡΙΟΥ,ΛΗΞΟΥΡΙΟΥ,ΛΗΞΟΥΡΙΟΥ
Δ. ΔΥΤΙΚΗΣ ΣΑΜΟΥ,ΔΥΤΙΚΗΣ ΣΑΜΟΥ,ΔΥΤΙΚΗΣ ΣΑΜΟΥ
Δ. ΚΑΣΟΥ,ΚΑΣΟΥ,ΚΑΣΟΥ
Δ. ΒΕΛΒΕΝΤΟΥ,ΒΕΛΒΕΝΤΟΥ,ΒΕΛΒΕΝΤΟΥ
Δ. ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ
Δ. ΔΩΡΙΔΟΣ,ΔΩΡΙΔΟΣ,ΔΩΡΙΔΟΣ
Δ. ΣΥΜΗΣ,ΣΥΜΗΣ,ΣΥΜΗΣ
ΜΟΝΕΜΒΑΣΙΑΣ,ΜΟΝΕΜΒΑΣΙΑΣ,ΜΟΝΕΜΒΑΣΙΑΣ
ΘΗΒΑΙΩΝ,ΘΗΒΑΙΩΝ,ΘΗΒΑΙΩΝ
ΧΑΛΚΗΔΟΝΟΣ,ΧΑΛΚΗΔΟΝΟΣ,ΧΑΛΚΗΔΟΝΟΣ
ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ
ΕΥΡΩΤΑ,ΕΥΡΩΤΑ,ΕΥΡΩΤΑ
ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ,ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ,ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ
ΚΕΦΑΛΟΝΙΑΣ,ΚΕΦΑΛΟΝΙΑΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΕΔΕΣΣΑΣ,ΕΔΕΣΣΑΣ,ΕΔΕΣΣΑΣ
ΕΡΜΙΟΝΙΔΑΣ,ΕΡΜΙΟΝΙΔΑΣ,ΕΡΜΙΟΝΙΔΑΣ
ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ,ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ,ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ
ΚΑΛΑΜΑΤΑΣ,ΚΑΛΑΜΑΤΑΣ,ΚΑΛΑΜΑΤΑΣ
ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ
ΠΑΓΓΑΙΟΥ,ΠΑΓΓΑΙΟΥ,ΠΑΝΓΑΙΟΥ
ΠΗΝΕΙΟΥ,ΠΗΝΕΙΟΥ,ΠΗΝΕΙΟΥ
ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ,ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ,ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ
ΒΟΙΟΥ,ΒΟΙΟΥ,ΒΟΙΟΥ
ΙΑΣΜΟΥ,ΙΑΣΜΟΥ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΠΥΡΓΟΥ,ΠΥΡΓΟΥ,ΠΥΡΓΟΥ
ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ,ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ,ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ
ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΚΑΙΩΝ
ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ
ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ
ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ
ΝΕΣΤΟΥ,ΝΕΣΤΟΥ,ΝΕΣΤΟΥ
ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ
ΑΛΜΥΡΟΥ,ΑΛΜΥΡΟΥ,ΑΛΜΥΡΟΥ
ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ
ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ
ΑΝΔΡΟΥ,ΑΝΔΡΟΥ,ΑΝΔΡΟΥ
ΑΛΟΝΝΗΣΟΥ,ΑΛΟΝΝΗΣΟΥ,ΑΛΟΝΝΗΣΟΥ
ΔΕΣΚΑΤΗΣ,ΔΕΣΚΑΤΗΣ,ΔΕΣΚΑΤΗΣ
ΙΕΡΑΠΕΤΡΑΣ,ΙΕΡΑΠΕΤΡΑΣ,ΙΕΡΑΠΕΤΡΑΣ
ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ
ΕΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ
ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ
ΛΑΡΙΣΑΙΩΝ,ΛΑΡΙΣΑΙΩΝ,ΛΑΡΙΣΑΙΩΝ
ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ
ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ,ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ,ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ
ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ
ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ,ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ,ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ
ΔΙΔΥΜΟΤΕΙΧΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ,ΔΙΔΥΜΟΤΕΙΧΟΥ
ΜΟΥΖΑΚΙΟΥ,ΜΟΥΖΑΚΙΟΥ,ΜΟΥΖΑΚΙΟΥ
ΤΡΟΙΖΗΝΙΑΣ,ΤΡΟΙΖΗΝΙΑΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
ΣΠΑΡΤΗΣ,ΣΠΑΡΤΗΣ,ΣΠΑΡΤΗΣ
ΣΟΥΦΛΙΟΥ,ΣΟΥΦΛΙΟΥ,ΣΟΥΦΛΙΟΥ
